# Mg I 2852-A absolute cross sections recovered from Allard et al. 2018 A&A 619 A152 Fig. 6 vector paths
# T=6000 K; n_He=1e21,5e21,1e22 cm^-3; figure-resolution bridge
# helium_density_cm-3 wavelength_vacuum_angstrom cross_section_cm2
1.00000000e+22 2726.20000000 2.9749854668e-16
1.00000000e+22 2727.00000000 3.0010465178e-16
1.00000000e+22 2727.60000000 3.0220596363e-16
1.00000000e+22 2728.40000000 3.0432198871e-16
1.00000000e+22 2729.20000000 3.0645283005e-16
1.00000000e+22 2729.80000000 3.0913737521e-16
1.00000000e+22 2730.60000000 3.1130193356e-16
1.00000000e+22 2731.40000000 3.1348164799e-16
1.00000000e+22 2732.20000000 3.1512644381e-16
1.00000000e+22 2732.80000000 3.1733293719e-16
1.00000000e+22 2733.60000000 3.1955488029e-16
1.00000000e+22 2734.40000000 3.2179238128e-16
1.00000000e+22 2735.20000000 3.2348078239e-16
1.00000000e+22 2735.80000000 3.2574577227e-16
1.00000000e+22 2736.60000000 3.2745491629e-16
1.00000000e+22 2737.40000000 3.2917302795e-16
1.00000000e+22 2738.20000000 3.3147787454e-16
1.00000000e+22 2738.80000000 3.3321709412e-16
1.00000000e+22 2739.60000000 3.3496543916e-16
1.00000000e+22 2740.40000000 3.3672295752e-16
1.00000000e+22 2741.20000000 3.3848969735e-16
1.00000000e+22 2741.80000000 3.4026570702e-16
1.00000000e+22 2742.60000000 3.4205103517e-16
1.00000000e+22 2743.40000000 3.4384573069e-16
1.00000000e+22 2744.20000000 3.4564984275e-16
1.00000000e+22 2744.80000000 3.4746342073e-16
1.00000000e+22 2745.60000000 3.4928651431e-16
1.00000000e+22 2746.40000000 3.5111917342e-16
1.00000000e+22 2747.20000000 3.5296144824e-16
1.00000000e+22 2747.80000000 3.5481338923e-16
1.00000000e+22 2748.60000000 3.5605341169e-16
1.00000000e+22 2749.40000000 3.5792157579e-16
1.00000000e+22 2750.20000000 3.5979954190e-16
1.00000000e+22 2751.00000000 3.6168736144e-16
1.00000000e+22 2751.60000000 3.6358508612e-16
1.00000000e+22 2752.40000000 3.6549276790e-16
1.00000000e+22 2753.20000000 3.6741045903e-16
1.00000000e+22 2754.00000000 3.6869450645e-16
1.00000000e+22 2754.80000000 3.7062899667e-16
1.00000000e+22 2755.40000000 3.7257363690e-16
1.00000000e+22 2756.20000000 3.7452848039e-16
1.00000000e+22 2757.00000000 3.7649358068e-16
1.00000000e+22 2757.80000000 3.7846899159e-16
1.00000000e+22 2758.40000000 3.8045476721e-16
1.00000000e+22 2759.20000000 3.8245096192e-16
1.00000000e+22 2760.00000000 3.8378757377e-16
1.00000000e+22 2760.80000000 3.8580125527e-16
1.00000000e+22 2761.60000000 3.8782550229e-16
1.00000000e+22 2762.40000000 3.8986037025e-16
1.00000000e+22 2763.00000000 3.9190591490e-16
1.00000000e+22 2763.80000000 3.9396219224e-16
1.00000000e+22 2764.60000000 3.9533903420e-16
1.00000000e+22 2765.40000000 3.9741332466e-16
1.00000000e+22 2766.20000000 3.9949849863e-16
1.00000000e+22 2767.00000000 4.0159461323e-16
1.00000000e+22 2767.60000000 4.0370172586e-16
1.00000000e+22 2768.40000000 4.0511260611e-16
1.00000000e+22 2769.20000000 4.0723817718e-16
1.00000000e+22 2770.00000000 4.0937490082e-16
1.00000000e+22 2770.80000000 4.1152283557e-16
1.00000000e+22 2771.40000000 4.1368204024e-16
1.00000000e+22 2772.20000000 4.1512780028e-16
1.00000000e+22 2773.00000000 4.1730591971e-16
1.00000000e+22 2773.80000000 4.1949546744e-16
1.00000000e+22 2774.60000000 4.2169650343e-16
1.00000000e+22 2775.40000000 4.2390908796e-16
1.00000000e+22 2776.20000000 4.2613328162e-16
1.00000000e+22 2776.80000000 4.2836914532e-16
1.00000000e+22 2777.60000000 4.3061674030e-16
1.00000000e+22 2778.40000000 4.3287612811e-16
1.00000000e+22 2779.20000000 4.3514737062e-16
1.00000000e+22 2780.00000000 4.3743053003e-16
1.00000000e+22 2780.80000000 4.3972566887e-16
1.00000000e+22 2781.60000000 4.4203284999e-16
1.00000000e+22 2782.20000000 4.4435213658e-16
1.00000000e+22 2783.00000000 4.4668359215e-16
1.00000000e+22 2783.80000000 4.4981123952e-16
1.00000000e+22 2784.60000000 4.5217133826e-16
1.00000000e+22 2785.40000000 4.5454382013e-16
1.00000000e+22 2786.20000000 4.5772650426e-16
1.00000000e+22 2787.00000000 4.6012813333e-16
1.00000000e+22 2787.80000000 4.6334991844e-16
1.00000000e+22 2788.40000000 4.6578105280e-16
1.00000000e+22 2789.20000000 4.6904241925e-16
1.00000000e+22 2790.00000000 4.7150342140e-16
1.00000000e+22 2790.80000000 4.7480485548e-16
1.00000000e+22 2791.60000000 4.7729609235e-16
1.00000000e+22 2792.40000000 4.8063808631e-16
1.00000000e+22 2793.20000000 4.8315992935e-16
1.00000000e+22 2794.00000000 4.8654298148e-16
1.00000000e+22 2794.80000000 4.8994972151e-16
1.00000000e+22 2795.60000000 4.9252042145e-16
1.00000000e+22 2796.40000000 4.9596901509e-16
1.00000000e+22 2797.00000000 4.9944175555e-16
1.00000000e+22 2797.80000000 5.0293881190e-16
1.00000000e+22 2798.60000000 5.0557766383e-16
1.00000000e+22 2799.40000000 5.0911768338e-16
1.00000000e+22 2800.20000000 5.1268248990e-16
1.00000000e+22 2801.00000000 5.1627225694e-16
1.00000000e+22 2801.80000000 5.1988715929e-16
1.00000000e+22 2802.60000000 5.2352737292e-16
1.00000000e+22 2803.40000000 5.2719307508e-16
1.00000000e+22 2804.20000000 5.3088444423e-16
1.00000000e+22 2805.00000000 5.3460166009e-16
1.00000000e+22 2805.80000000 5.3834490364e-16
1.00000000e+22 2806.40000000 5.4306083726e-16
1.00000000e+22 2807.20000000 5.4686331137e-16
1.00000000e+22 2808.00000000 5.5069241015e-16
1.00000000e+22 2808.80000000 5.5454832000e-16
1.00000000e+22 2809.60000000 5.5940619652e-16
1.00000000e+22 2810.40000000 5.6332311970e-16
1.00000000e+22 2811.20000000 5.6825786400e-16
1.00000000e+22 2812.00000000 5.7323583695e-16
1.00000000e+22 2812.80000000 5.7724959430e-16
