obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"432.4615"	"0.0008"	"432.4615"	"0.0004"	"7*"	"1.14e+05"	"3.20e-04"	"-2.89"	B	"16973.36619"	"40090.31"	"2p6.3p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"3/2"		"T7799"	"L6096"	
"432.4615"	"0.0008"	"432.4615"	"0.0004"	"7*"	"6.84e+05"	"2.88e-03"	"-1.94"	B	"16973.36619"	"40090.31"	"2p6.3p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"5/2"		"T7799"	"L6096"	
"434.1489"	"0.0008"	"434.1489"	"0.0004"	"4"	"3.26e+05"	"9.22e-04"	"-2.734"	C+	"16956.17025"	"39983.27"	"2p6.3p"	"2P*"	"1/2"	"2p6.10s"	"2S"	"1/2"		"c30"	"L6096"	
"434.4736"	"0.0008"	"434.4733"	"0.0004"	"5"	"6.50e+05"	"9.20e-04"	"-2.434"	C+	"16973.36619"	"39983.27"	"2p6.3p"	"2P*"	"3/2"	"2p6.10s"	"2S"	"1/2"		"c30"	"L6096"	
"439.0029"	"0.0008"	"439.0022"	"0.0004"	"8"	"9.83e+05"	"5.69e-03"	"-1.944"	B+	"16956.17025"	"39728.70"	"2p6.3p"	"2P*"	"1/2"	"2p6.8d"	"2D"	"3/2"		"c30"	"L6096"	
"439.3340"	"0.0008"	"439.3340"	"0.0004"	"9*"	"1.17e+06"	"5.09e-03"	"-1.691"	B+	"16973.36619"	"39728.70"	"2p6.3p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"5/2"		"c30"	"L6096"	
"439.3340"	"0.0008"	"439.3340"	"0.0004"	"9*"	"1.95e+05"	"5.66e-04"	"-2.645"	B	"16973.36619"	"39728.70"	"2p6.3p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"3/2"		"c30"	"L6096"	
"441.9885"	"0.0008"	"441.9883"	"0.0004"	"6"	"2.82e+05"	"8.25e-04"	"-2.783"	C+	"16956.17025"	"39574.85"	"2p6.3p"	"2P*"	"1/2"	"2p6.9s"	"2S"	"1/2"		"c30"	"L6096"	
"442.3246"	"0.0008"	"442.3246"	"0.0004"	"7"	"5.61e+05"	"8.24e-04"	"-2.482"	C+	"16973.36619"	"39574.85"	"2p6.3p"	"2P*"	"3/2"	"2p6.9s"	"2S"	"1/2"		"c30"	"L6096"	
"443.23"	"0.02"	"443.234"	"0.014"	"310"	"1.4e+07"	"6.2e-02"	"-0.61"	D	"263745.3"	"286300.4"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"		"T5209"	"L6269"	
