obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"532.910"	"532.9096"	"135*"	"2.71e+06"	"3.85e-03"	"-1.938"	C+	"86625.757"	"105385.449"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).5d"	"5D*"	"0"		"T5713LS"	"L3760"	
"532.910"	"532.9099"	"135*"	"2.03e+06"	"8.65e-03"	"-1.586"	C+	"86625.757"	"105385.436"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).5d"	"5D*"	"1"		"T5713LS"	"L3760"	
""	"532.9107"	""	"9.48e+05"	"6.73e-03"	"-1.695"	C+	"86625.757"	"105385.409"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).5d"	"5D*"	"2"		"T5713LS"	""	
""	"532.9673"	""	"6.77e+05"	"1.73e-03"	"-2.063"	C+	"86627.778"	"105385.436"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).5d"	"5D*"	"1"		"T5713LS"	""	
"532.968"	"532.9681"	"160"	"1.58e+06"	"6.73e-03"	"-1.473"	C+	"86627.778"	"105385.409"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).5d"	"5D*"	"2"		"T5713LS"	"L3760"	
""	"532.9690"	""	"1.81e+06"	"1.08e-02"	"-1.268"	C+	"86627.778"	"105385.377"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).5d"	"5D*"	"3"		"T5713LS"	""	
""	"533.0726"	""	"1.80e+05"	"5.48e-04"	"-2.416"	C+	"86631.454"	"105385.409"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).5d"	"5D*"	"2"		"T5713LS"	""	
""	"533.0735"	""	"9.02e+05"	"3.84e-03"	"-1.570"	C+	"86631.454"	"105385.377"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).5d"	"5D*"	"3"		"T5713LS"	""	
"533.074"	"533.0741"	"190"	"2.71e+06"	"1.49e-02"	"-0.983"	C+	"86631.454"	"105385.354"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).5d"	"5D*"	"4"		"T5713LS"	"L3760"	
"543.518"	"543.5178"	"90"	"7.74e+05"	"5.72e-03"	"-1.766"	C+	"86625.757"	"105019.307"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).6s"	"5S*"	"2"		"T5713LS"	"L3760"	
